0,0; 0,0; 214,0; 22,70; 33371,3; 22,71
0,0; 0,0; 211,0; 23,19; 34087,4; 23,20
0,0; 0,0; 208,0; 23,62; 34718,0; 23,64
0,0; 0,0; 205,0; 24,13; 35468,8; 24,13
0,0; 0,0; 202,0; 24,64; 36228,9; 24,64
0,0; 0,0; 199,0; 25,16; 36987,6; 25,16
0,0; 0,0; 196,0; 25,71; 37800,3; 25,74
0,0; 0,0; 193,0; 26,29; 38648,0; 26,29
0,0; 0,0; 190,0; 26,75; 39333,0; 26,76
0,0; 0,0; 187,0; 27,33; 40180,3; 27,34
0,0; 0,0; 184,0; 27,93; 41054,4; 27,91
0,0; 0,0; 181,0; 28,48; 41866,9; 28,43
0,0; 0,0; 178,0; 29,09; 42770,1; 29,09
0,0; 0,0; 175,0; 29,69; 43641,7; 29,67
0,0; 0,0; 172,0; 30,28; 44511,6; 30,29
0,0; 0,0; 169,1; 30,93; 45473,8; 30,95
0,0; 0,0; 166,0; 31,63; 46503,1; 31,68
0,0; 0,0; 163,0; 32,29; 47473,5; 32,32
0,0; 0,0; 160,0; 33,08; 48635,3; 33,07
0,0; 0,0; 157,0; 33,81; 49706,5; 33,81
0,0; 0,0; 154,0; 34,37; 50530,2; 34,39
0,0; 0,0; 151,0; 35,25; 51827,7; 35,22
0,0; 0,0; 148,0; 35,98; 52891,6; 36,00
0,0; 0,0; 145,0; 36,74; 54018,6; 36,75
0,0; 0,0; 142,0; 37,46; 55065,1; 37,49
0,0; 0,0; 139,0; 38,41; 56468,5; 38,43
