Measurement time:; 02/08/2022 19:51:44;;;;;
Radiation device:; Novalis TB Accelerator;;;;;
Energy:; 6 MV ;;;;;
Controller:; CCU;;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;;
Field detector:; CC 13 -  F;;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;
SAD:; 1000 mm;;;;;
SSD:; 900 mm;;;;;
Field size:; 100 x 100 mm;;;;;
Gantry angle:;0;;;;;
Measurement medium:; Water;;;;;
Scan type:; Beam;;;;;
Scan mode:; Continuous;;;;;
Wedge:; none;;;;;
;;;;;;
Points [mm]:;;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;Dose relative (%)
0;0;146,4;75,53;109657;52,73;52,903271
0;0;145,2;76,11;110500,1;53,28;53,30951881
0;0;144;76,64;111265,2;53,61;53,68074525
0;0;142,8;77,08;111897,5;53,89;53,98893325
0;0;141,6;77,57;112612,3;54,22;54,33214261
0;0;140,4;78,09;113363,1;54,68;54,69636478
0;0;139,2;78,55;114032,3;54,91;55,01856132
0;0;138;78,99;114670,5;55,19;55,32674932
0;0;136,8;79,62;115584,1;55,65;55,76801849
0;0;135,6;80,21;116452,4;56,12;56,18127058
0;0;134,4;80,58;116986;56,26;56,44042866
0;0;133,2;81,13;117779,3;56,72;56,82566365
0;0;131,9;81,77;118714,2;57,21;57,2739371
0;0;130,7;82,13;119234,6;57,36;57,52609092
0;0;129,5;82,77;120162;57,88;57,97436436
0;0;128,3;83,39;121063,8;58,31;58,40862926
0;0;127,1;83,85;121738,2;58,62;58,7308258
0;0;125,9;84,38;122500,7;58,85;59,10205225
0;0;124,7;85,05;123472,9;59,42;59,57133852
0;0;123,5;85,4;123989,4;59,82;59,81648806
0;0;122,3;85,95;124785,3;60,09;60,20172305
0;0;121,1;86,52;125603,7;60,5;60,60096659
0;0;119,9;87,03;126344,6;60,98;60,95818449
0;0;118,7;87,75;127388;61,25;61,46249212
0;0;117,5;88,11;127920,5;61,63;61,71464593
0;0;116,3;88,84;128972,3;62,07;62,22595783
0;0;115,1;89,3;129641,7;62,4;62,54815437
0;0;113,9;89,64;130143,3;62,72;62,78629964
0;0;112,7;90,48;131361,9;63,2;63,37465854
0;0;111,5;91,04;132164,1;63,61;63,76689781
0;0;110,3;91,52;132869,8;63,95;64,10310289
0;0;109,1;92,19;133838,7;64,49;64,57238916
0;0;107,9;92,7;134587,6;64,76;64,92960706
0;0;106,7;93,25;135378,1;65,31;65,31484205
0;0;105,4;93,91;136333;65,72;65,77712405
0;0;104,3;94,44;137105,8;66,01;66,14835049
0;0;103,1;95,18;138180;66,51;66,66666667
0;0;101,9;95,61;138811,5;66,78;66,96785039
0;0;100,7;96,43;139993,6;67,44;67,54220074
0;0;99,5;96,92;140705,4;67,73;67,8854101
0;0;98,3;97,49;141540,1;68,19;68,28465364
0;0;97,1;98,19;142544,2;68,49;68,77495272
0;0;95,9;98,62;143173,2;68,9;69,07613644
0;0;94,7;99,35;144235,3;69,43;69,58744834
0;0;93,4;100,1;145317,4;69,88;70,11276879
0;0;92,2;100,61;146060,3;70,28;70,46998669
0;0;91,1;101,28;147034,5;70,77;70,93927296
0;0;89,9;101,85;147858,6;71,33;71,3385165
0;0;88,6;102,55;148874,2;71,68;71,82881558
0;0;87,4;103,16;149762,3;71,91;72,25607621
0;0;86,2;103,85;150765,7;72,62;72,73937102
0;0;85;104,34;151472,7;72,85;73,08258037
0;0;83,8;104,98;152402,7;73,23;73,53085382
0;0;82,6;105,81;153618,2;73,93;74,11220845
0;0;81,4;106,37;154431,2;74,34;74,50444771
