Measurement time:; 04/09/2023 15:55:31;;;;;;Measurement time:; 04/09/2023 15:59:24;;;;
Radiation device:; Clinac2 Accelerator;;;;;;Radiation device:; Clinac2 Accelerator;;;;
Energy:; 6 MV ;;;;;;Energy:; 6 MV ;;;;
Controller:; CCU;;;;;;Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;;;Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;;;Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;;;Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;;;SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;;;SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;;;Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;;;Gantry angle:;0;;;;
Measurement medium:; Water;;;;;;Measurement medium:; Water;;;;
Scan type:; Beam;;;;;;Scan type:; Beam;;;;
Scan mode:; Continuous;;RP avec chambre de ref;;;;Scan mode:; Continuous;;RP sans chambre de ref;;
Wedge:; none;;;;;;Wedge:; none;;;;
;;;;;;;;;;;;
Points [mm]:;;;;;;;Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;35,3;2045,14;229335;92,07;;0;0;35,3;445,17;229196,3;89,9
0;0;34,1;2056,02;230555,8;92,61;;0;0;34,1;447,89;230599,3;83,36
0;0;32,9;2063,29;231371;92,83;;0;0;32,9;449,87;231614,8;77,68
0;0;31,7;2079,11;233145,1;93,37;;0;0;31,7;453,2;233332,6;77,59
0;0;30,5;2087,65;234102,1;94,04;;0;0;30,5;456,14;234844,8;80,72
0;0;29,3;2099,92;235478,6;94,48;;0;0;29,2;458,05;235827,2;76,04
0;0;28,1;2110,75;236693,3;95,08;;0;0;28;460,32;236995,5;67,7
0;0;26,8;2122,75;238038,9;95,58;;0;0;26,8;462,96;238354,6;77,99
0;0;25,6;2131,87;239061,2;96;;0;0;25,6;464,29;239042,1;73,91
0;0;24,4;2146,54;240705,6;96,55;;0;0;24,4;468,18;241045,5;90,58
0;0;23,2;2154,12;241556,3;96,98;;0;0;23,2;470,62;242302,9;84,72
0;0;22;2165,98;242886,1;97,49;;0;0;22;473,16;243607;74,47
0;0;20,8;2181,48;244624,6;98,14;;0;0;20,8;475,49;244810,1;84,01
0;0;19,6;2194,59;246094,5;98,66;;0;0;19,6;478,16;246181,6;88,67
0;0;18,4;2192,79;245892,5;98,87;;0;0;18,4;478,98;246605;98,06
0;0;17,2;2208,08;247607,3;99,39;;0;0;17,2;481,64;247974,4;89,62
0;0;16;2217,52;248665,5;99,69;;0;0;16;483,42;248892,1;86,17
0;0;14,7;2220,36;248984,5;99,94;;0;0;14,7;484,43;249412;86,18
0;0;13,5;2219,75;248915,5;99,91;;0;0;13,5;484,22;249304,2;86,44
0;0;12,3;2218,61;248787,6;99,94;;0;0;12,3;484,44;249417,3;83,66
