Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio;;Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;-5;100;3673,93;224084,7;100,13;;0;0;157,5;2629,12;160358,5;46,02;;0;32,6;100;2235,85;136371,7;98,58;;0;0;157,5;1661,46;101337,6;49,29
0;-6,3;100;3671,19;223917,9;99,97;;0;0;156,3;2649,78;161618,6;46,21;;0;33,7;100;2223,67;135628,5;98,44;;0;0;156,4;1669,81;101847,1;49,56
0;-7,4;100;3659,94;223231,3;99,98;;0;0;155,1;2654,82;161926,2;46,59;;0;35;100;2223,06;135591,5;98,27;;0;0;155,2;1681,85;102581,5;49,86
0;-8,6;100;3677,42;224297,6;100,92;;0;0;153,9;2673,1;163041,1;46,97;;0;36,2;100;2217,91;135277,2;98,26;;0;0;153,9;1691,9;103194,5;50,26
0;-9,9;100;3672,23;223980,8;100,2;;0;0;152,7;2700,1;164687,9;47,33;;0;37,4;100;2212,19;134928,8;97,7;;0;0;152,7;1703,86;103923,7;50,68
0;-11;100;3676,32;224230,8;100,38;;0;0;151,5;2726,53;166299,9;47,48;;0;38,6;100;2199,71;134167,6;97,37;;0;0;151,5;1721,93;105026;51,02
0;-12,3;100;3674,32;224108,3;100,28;;0;0;150,3;2741,9;167237,4;47,96;;0;39,8;100;2191,78;133683,9;96,88;;0;0;150,3;1732,52;105671,7;51,35
0;-13,5;100;3669,88;223837,7;100,91;;0;0;149,1;2759,52;168311,7;48,14;;0;41;100;2188,38;133476,2;96,87;;0;0;149,1;1744,74;106417,3;51,7
0;-14,8;100;3675,95;224207,7;100,36;;0;0;147,9;2785,99;169926,4;48,66;;0;42,2;100;2181,33;133046,1;96,34;;0;0;147,9;1748,45;106643,7;51,91
0;-15,9;100;3682,86;224629,5;100,53;;0;0;146,7;2797,09;170603,6;49,29;;0;43,4;100;2166,24;132125,7;95,92;;0;0;146,7;1757,34;107185,8;52,21
