Measurement time:; 02/08/2022 19:59:54;;;;
Radiation device:; Novalis TB Accelerator;;;;
Energy:; 6 MV ;;;;
Controller:; CCU;;;;
Measurement device:; Blue Phantom 2  (48*48*41);;;;
Field detector:; CC 13 -  F;;;;
Reference detector:; CC 13 - R pas offset energie;;;;
SAD:; 1000 mm;;;;
SSD:; 1000 mm;;;;
Field size:; 100 x 100 mm;;;;
Gantry angle:;0;;;;
Measurement medium:; Water;;;;
Scan type:; Beam;;;;
Scan mode:; Continuous;;;;
Wedge:; none;;;;
;;;;;
Points [mm]:;;;;;
Inline; Crossline; Depth; Normalized field; Current field; Ratio
0;0;151,2;280,12;406679,9;46,51
0;0;150;282,06;409492,2;46,85
0;0;148,8;284,27;412703,5;47,16
0;0;147,6;285,91;415076,9;47,48
0;0;146,4;288,74;419183,7;47,92
0;0;145,2;290,27;421406,7;48,26
0;0;144;292,6;424799,3;48,57
0;0;142,8;294,57;427656;48,94
0;0;141,5;296,97;431131,3;49,33
0;0;140,3;299,49;434798,1;49,69
0;0;139,1;301,22;437311,3;49,99
0;0;137,9;303,48;440594,1;50,35
0;0;136,8;306,19;444520,5;50,83
0;0;135,5;307,74;446770,8;51,15
0;0;134,4;310,34;450541,6;51,51
0;0;133,1;312,63;453878,3;51,88
0;0;131,9;314,62;456765,7;52,24
0;0;130,7;317,83;461425,7;52,74
0;0;129,5;320,1;464720,7;53,04
0;0;128,3;321,53;466798,5;53,43
0;0;127,1;324,39;470948,6;53,8
0;0;125,9;326,18;473549;54,21
0;0;124,7;329,03;477679,4;54,7
0;0;123,5;331,08;480662;54,92
0;0;122,3;333,97;484856,5;55,41
0;0;121,1;336,5;488532,2;55,83
0;0;119,9;338,76;491813;56,23
0;0;118,7;340,94;494977,4;56,6
0;0;117,5;343,25;498330,2;56,95
0;0;116,3;345,91;502186;57,4
0;0;115,1;348,3;505655,9;57,71
0;0;113,9;351,21;509880,9;58,32
0;0;112,7;353,49;513190,6;58,7
0;0;111,5;355,94;516741,9;59,13
0;0;110,3;358,66;520700,8;59,56
0;0;109,1;361,09;524229,2;59,98
0;0;107,9;363,79;528151,8;60,38
0;0;106,7;366,79;532496,2;60,88
0;0;105,4;369,47;536387,1;61,34
0;0;104,3;371,8;539772,6;61,69
0;0;103,1;374,21;543277,1;62,19
0;0;101,9;377,77;548446;62,68
0;0;100,7;380,02;551702,5;63,11
0;0;99,5;383,42;556642,5;63,55
0;0;98,3;385,7;559948,1;64,07
0;0;97;387,79;562982,5;64,49
0;0;95,9;390,95;567578,1;64,9
0;0;94,7;394,27;572392;65,4
0;0;93,4;396,82;576096,7;65,91
0;0;92,3;399,79;580415,5;66,37
0;0;91;403,8;586229;66,89
0;0;89,9;405,74;589048;67,42
0;0;88,6;408,53;593103,1;67,83
0;0;87,4;411;596679,8;68,26
0;0;86,2;414,05;601116,4;68,73
0;0;85;416,58;604790,8;69,14
0;0;83,8;419,17;608547;69,65
0;0;82,6;423,5;614829,6;70,23
0;0;81,4;425,73;618065,8;70,69
0;0;80,2;429,31;623266,3;71,3
0;0;79;432,84;628396,2;71,79
0;0;77,8;435,05;631601;72,24
0;0;76,6;438,44;636522;72,84
0;0;75,4;440,76;639889,9;73,28
