 Crossline; Ratio;;Inline; Ratio;; Depth; Ratio
-14,5;70,81;;14,6;50,9;;;
-14,6;68,42;;14,6;48,38;;;
-14,7;64,65;;14,8;43,78;;;
-14,9;59,32;;14,8;42,93;;;
-15;59,33;;15;39,13;;;
-15,2;53,44;;15,1;36,38;;;
-15,2;53,45;;15,1;35,72;;;
-15,2;52,29;;15,3;32,17;;;
-15,5;44,76;;15,3;31,17;;;
-15,5;44,82;;15,4;28,84;;;
-15,6;43,37;;15,6;26,17;;;
-15,6;42,53;;15,6;25,2;;;
-16;35;;15,8;23,28;;;
-15,9;35,91;;15,8;22,13;;;
-16;33,54;;16;19,89;;;
-16;33,51;;16;19,61;;;
-16,3;28,3;;16,2;18,29;;;
-16,3;28,36;;16,2;17,63;;;
-16,4;26,66;;16,4;16,38;;;
-16,5;25,06;;16,5;15,55;;;
-16,7;22,4;;16,6;15,12;;;
-16,7;22,33;;16,7;14,24;;;
-16,9;20,31;;16,7;13,97;;;
-16,8;20,14;;17;12,6;;;
-16,9;19,2;;17;12,6;;;
-17,2;16,35;;17;12,24;;;
-17,3;16,43;;17,2;11,72;;;
-17,2;16,33;;17,3;11,39;;;
-17,3;15,82;;17,3;11,08;;;
-17,6;13,66;;17,4;10,77;;;
-17,6;13,87;;17,7;10,04;;;
-17,7;13,86;;17,7;10,01;;;
-17,8;13,19;;17,7;9,77;;;
-17,9;12,3;;17,8;9,48;;;
-17,9;12,21;;18;9,23;;;
-18,1;11,59;;18,1;8,88;;;
-18,2;11,07;;18,2;8,58;;;
-18,2;10,98;;18,2;8,55;;;
-18,5;9,85;;18,4;8,34;;;
-18,5;9,96;;18,6;7,99;;;
-18,5;9,97;;18,6;7,97;;;
-18,6;9,55;;18,6;7,85;;;
-18,8;9,22;;18,7;7,66;;;
-18,9;8,95;;19;7,33;;;
-19;8,86;;19;7,3;;;
-19,1;8,37;;19;7,21;;;
-19,2;8,37;;19,2;7;;;
-19,3;7,99;;19,2;6,97;;;
-19,3;8,02;;19,5;6,65;;;
-19,5;7,8;;19,5;6,65;;;
-19,5;7,71;;19,5;6,59;;;
-19,8;7,27;;19,7;6,39;;;
-19,8;7,24;;19,8;6,28;;;
-19,9;7,19;;19,8;6,26;;;
-20;7,05;;20,1;6,05;;;
-20;6,98;;20,1;6,07;;;
-20,2;6,69;;20,1;5,99;;;
-20,2;6,62;;20,3;5,84;;;
-20,4;6,53;;20,5;5,68;;;
-20,5;6,4;;20,5;5,7;;;
-20,5;6,35;;20,5;5,67;;;
-20,7;6,19;;20,7;5,48;;;
-20,8;6,04;;20,7;5,48;;;
-20,8;6,03;;20,9;5,37;;;
-21;5,9;;20,9;5,37;;;
-21,1;5,84;;21;5,29;;;
-21,3;5,72;;21,2;5,16;;;
-21,2;5,66;;21,4;5,1;;;
-21,3;5,65;;21,4;5,11;;;
-21,5;5,48;;21,5;5;;;
-21,6;5,44;;21,5;4,97;;;
-21,6;5,4;;21,7;4,91;;;
-21,8;5,29;;21,8;4,82;;;
-21,9;5,21;;21,8;4,84;;;
-22;5,16;;22;4,78;;;
-22,1;5,03;;22,2;4,68;;;
-22,1;5,06;;22,1;4,72;;;
-22,3;4,98;;22,2;4,62;;;
-22,3;4,92;;22,3;4,58;;;
-22,4;4,88;;22,5;4,55;;;
-22,6;4,79;;22,7;4,45;;;
-22,6;4,75;;22,7;4,45;;;
-22,8;4,73;;22,8;4,34;;;
-23;4,59;;22,8;4,36;;;
-23;4,63;;23;4,32;;;
